trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,11594752077930066556,['Group 1'],2021_maps/g2/spider_par6.json,[10],[10],['F'],[265.1101487033627],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[0],[1],[0],[],"[('Group 1', 600.1684217453003)]","{0: [(36.7181985705195, 242.244528448036), (35.3704717888446, 165.156135944845), (245.634913252904, 129.351719999763), (456.48562457226, 189.310601162261)]}","{0: [(38.0951942088214, 220.103820160027), (35.0979995468469, 159.661367523326), (266.68860462351, 126.320755247407), (475.465326567135, 195.609585753746)]}"
2,10553556605905673185,['Group 1'],2021_maps/g2/spider_par6.json,[10],[10],['F'],[472.25168443334957],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[2],[1],[0],[],"[('Group 1', 600.6074512004852)]","{0: [(22.9482421875, 463.651611328125), (37.4368234867808, 245.894608512369), (38.8856816167089, 224.118908230793), (40.7221639777095, 173.699457392902), (248.338962071522, 118.679664877646)]}","{0: [(22.9482421875, 463.651611328125), (38.8856816167089, 224.118908230793), (38.8856816167089, 224.118908230793), (40.9058122138096, 168.657512309113), (269.082277057293, 113.681880134499)]}"
3,13947616516110259629,['Group 1'],2021_maps/g2/spider_par6.json,[10],[10],['F'],[466.0105710646695],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[3],[1],[0],[],"[('Group 1', 600.7705657482147)]","{0: [(22.9482421875, 463.651611328125), (29.2246142440411, 265.548575869127), (39.6318266493405, 157.5235610334), (40.609784169305, 148.702089904418), (40.609784169305, 148.702089904418), (252.54020699519, 133.62893971596)]}","{0: [(22.9482421875, 463.651611328125), (29.8522514496952, 245.738272323227), (40.609784169305, 148.702089904418), (40.609784169305, 148.702089904418), (40.609784169305, 148.702089904418), (273.733249277778, 132.121624697114)]}"
4,1386946145491861054,['Group 1'],2021_maps/g2/spider_par6.json,[10],[10],['F'],[700.5306063527785],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[8],[0],[0],[],"[('Group 1', 500.8955717086792)]","{0: [(22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (33.841112795704, 285.094971923543), (38.0401901282878, 157.345790628675), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233)]}","{0: [(22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (22.9482421875, 463.651611328125), (34.9303998565244, 267.239307983085), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233), (38.3511691554642, 146.356438893233)]}"
5,6477113727540975936,['Group 1'],2021_maps/g2/spider_par6.json,[10],[10],['F'],[312.4066856954529],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[6],[0],[0],[],"[('Group 1', 523.2247598171234)]","{0: [(27.3957414007456, 272.591151291339), (27.8404913220702, 253.485105287661), (27.8404913220702, 253.485105287661), (31.9874870449143, 162.283025547031), (32.4021866171987, 153.162817572968), (32.4021866171987, 153.162817572968), (32.4021866171987, 153.162817572968), (229.306215418532, 111.311150733236), (248.996618298665, 107.125984049262), (410.958344970214, 180.186008293853)]}","{0: [(27.8404913220702, 253.485105287661), (27.8404913220702, 253.485105287661), (27.8404913220702, 253.485105287661), (32.4021866171987, 153.162817572968), (32.4021866171987, 153.162817572968), (32.4021866171987, 153.162817572968), (32.4021866171987, 153.162817572968), (248.996618298665, 107.125984049262), (248.996618298665, 107.125984049262), (427.154517637369, 187.492010718312)]}"
1,2445437468742795205,['Group 1'],2021_maps/g2/spider_par6.json,[25],[7],['S'],[0.0],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[1],[0],[0],['Group 1'],"[('Group 1', 35.71053767204285)]","{0: [(22.9482421875, 463.651611328125), (128.53244319034, 420.407747211294), (292.305952972739, 254.694219908239), (531.912315503634, 215.652918415051), (738.78627130956, 161.49267985853), (757.230818354526, 156.305679876918), (738.924572571856, 163.984564019691)]}","{0: [(22.9482421875, 463.651611328125), (139.090863290624, 416.08336079961), (307.62746194095, 238.555305819102), (554.340800859903, 213.362679674646), (757.230818354526, 156.305679876918), (738.924572571856, 163.984564019691), (738.6604937482281, 163.83586013305873)]}"
2,10247761641030993556,['Group 1'],2021_maps/g2/spider_par6.json,[25],[8],['S'],[0.0],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[2],[0],[0],['Group 1'],"[('Group 1', 37.70516085624695)]","{0: [(22.9482421875, 463.651611328125), (135.433811403821, 415.917302147743), (146.682368325453, 411.143871229705), (289.224566052762, 247.522398460833), (513.434427988923, 214.934051869277), (732.289025818144, 167.474517479011), (752.074929179431, 162.890826033131), (738.591405679403, 163.903852929833)]}","{0: [(22.9482421875, 463.651611328125), (146.682368325453, 411.143871229705), (146.682368325453, 411.143871229705), (303.478785825493, 231.160251183946), (534.429992205267, 213.31143193781), (752.074929179431, 162.890826033131), (738.591405679403, 163.903852929833), (738.6651908472434, 163.83135287075987)]}"
3,2461651356901342571,['Group 1'],2021_maps/g2/spider_par6.json,[25],[9],['S'],[0.0],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[2],[0],[0],['Group 1'],"[('Group 1', 37.78328585624695)]","{0: [(138.518723578913, 414.439745789721), (296.55506620735, 247.784559671027), (311.20299565628, 231.611159714541), (311.20299565628, 231.611159714541), (526.550177274634, 219.476555145442), (743.439740523773, 160.180631496185), (739.498599126112, 163.272960384181), (737.150936535473, 164.163017904904), (738.607259721861, 163.867331149229)]}","{0: [(150.075771718054, 409.518559235881), (311.20299565628, 231.611159714541), (311.20299565628, 231.611159714541), (311.20299565628, 231.611159714541), (548.08489543647, 218.263094688532), (762.975225032503, 154.372385176951), (737.150936535473, 164.163017904904), (738.607259721861, 163.867331149229), (738.6641182177582, 163.83041793526735)]}"
4,7109952179136822388,['Group 1'],2021_maps/g2/spider_par6.json,[25],[6],['S'],[0.0],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[0],[0],[0],['Group 1'],"[('Group 1', 36.903112173080444)]","{0: [(137.939824582641, 415.294580502638), (290.04857993735, 252.64052067427), (530.513689446153, 216.846177909098), (734.913092236494, 157.466007969917), (753.088991017556, 151.728116046905), (738.37811995032, 163.719679834936)]}","{0: [(149.438982822155, 410.45887742009), (304.109539648869, 236.858684999688), (553.154104425881, 214.844927200039), (753.088991017556, 151.728116046905), (738.37811995032, 163.719679834936), (738.6643741906393, 163.82849384354128)]}"
5,4493438214823152814,['Group 1'],2021_maps/g2/spider_par6.json,[25],[6],['S'],[0.0],775.9779706576358,"[22.9482421875, 463.651611328125]","[738.663818359375, 163.829956054688]",[0],[0],[0],['Group 1'],"[('Group 1', 37.9314751625061)]","{0: [(139.903383462675, 410.394667529237), (288.252996400183, 250.008459809317), (531.889912909988, 225.810795557491), (735.473444043152, 167.618534512052), (753.53208209018, 161.886224536686), (738.909225191269, 164.356046255299)]}","{0: [(151.598897590192, 405.068973149348), (301.918406281182, 234.502408475313), (554.887063572869, 224.941634265709), (753.53208209018, 161.886224536686), (738.909225191269, 164.356046255299), (738.6485271915722, 163.8376458183829)]}"
