trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,11594752077930066556,['Group 1'],maps/g3/g3_tournament.json,[10],[8],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 596.6736698150635)]","{0: [(195.30859375, 471.9375), (254.399143016233, 469.255666024591), (466.878904635715, 486.33232634033), (477.199027435358, 471.509565359218), (685.186796290713, 480.426840288464), (691.259573824989, 475.728687151803), (689.797294012663, 475.154876327863), (685.626841282796, 471.496767647286)]}","{0: [(195.30859375, 471.9375), (260.308197942857, 468.98748262705), (466.878904635715, 486.33232634033), (478.231039715322, 470.027289261107), (705.882371948253, 481.4667953912), (689.797294012663, 475.154876327863), (685.626841282796, 471.496767647286), (685.9108517618644, 472.0857410784743)]}"
2,10553556605905673185,['Group 1'],maps/g3/g3_tournament.json,[10],[7],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 587.7437770366669)]","{0: [(252.690023103702, 476.638585535012), (258.428166039072, 477.108694088514), (451.619837974941, 485.758187000312), (468.981341729475, 478.568591906775), (682.245942387436, 471.474030053748), (703.398787415686, 470.83646981938), (686.47679804777, 472.027208454282)]}","{0: [(258.428166039072, 477.108694088514), (258.428166039072, 477.108694088514), (451.619837974941, 485.758187000312), (470.717492104928, 477.849632397422), (703.398787415686, 470.83646981938), (686.47679804777, 472.027208454282), (685.9063957225223, 472.115902487667)]}"
3,13947616516110259629,['Group 1'],maps/g3/g3_tournament.json,[10],[10],['F'],[203.52294570278212],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 1', 600.042736530304)]","{0: [(255.913748268821, 475.869096372713), (454.058327908303, 468.555528507008), (479.807412667904, 472.760170933555)]}","{0: [(261.974263720703, 476.262256009984), (454.058327908303, 468.555528507008), (482.382321143864, 473.18063517621)]}"
4,1386946145491861054,['Group 1'],maps/g3/g3_tournament.json,[10],[10],['F'],[206.31948066458241],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[2],[1],[0],[],"[('Group 1', 600.1292130947113)]","{0: [(250.509758596117, 474.006620762057), (256.029875080729, 474.213532838263), (256.029875080729, 474.213532838263), (445.627842980528, 492.773073731536), (464.587639770508, 494.629027820864)]}","{0: [(256.029875080729, 474.213532838263), (256.029875080729, 474.213532838263), (256.029875080729, 474.213532838263), (464.587639770508, 494.629027820864), (480.154998111892, 487.444252386477)]}"
5,6477113727540975936,['Group 1'],maps/g3/g3_tournament.json,[10],[8],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 593.8668720722198)]","{0: [(253.874158988225, 469.979002031655), (449.622122363259, 478.965586005891), (449.622122363259, 478.965586005891), (475.944564445849, 468.163886583462), (649.969859862184, 470.535958256985), (667.109164982992, 470.881182418562), (684.675767827144, 472.829950292398), (685.855675623289, 472.257067104025)]}","{0: [(259.730715512048, 469.78315223482), (449.622122363259, 478.965586005891), (449.622122363259, 478.965586005891), (478.576808654108, 467.083716641219), (667.109164982992, 470.881182418562), (684.675767827144, 472.829950292398), (685.855675623289, 472.257067104025), (685.897339437781, 472.08860608247295)]}"
1,2445437468742795205,['Group 1'],maps/g3/g3_tournament.json,[25],[6],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 593.3839046955109)]","{0: [(256.913162315669, 473.403519296389), (448.970512518206, 477.100038881007), (478.522841781747, 471.414317444918), (684.755217961562, 471.032860576646), (705.082932286908, 471.051572104179), (685.429726491004, 472.344525513185)]}","{0: [(263.073619172236, 473.550121226028), (448.970512518206, 477.100038881007), (481.478074708101, 470.84574530131), (705.082932286908, 471.051572104179), (685.429726491004, 472.344525513185), (685.8991794619068, 472.08413883282043)]}"
2,10247761641030993556,['Group 1'],maps/g3/g3_tournament.json,[25],[10],['F'],[223.67421626212365],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 1', 600.6817669868469)]","{0: [(258.992488221463, 473.071169838552), (462.244488994778, 474.795213737132)]}","{0: [(265.360877668609, 473.184536822407), (462.244488994778, 474.795213737132)]}"
3,2461651356901342571,['Group 1'],maps/g3/g3_tournament.json,[25],[10],['F'],[219.3986180274355],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[1],[0],[],"[('Group 1', 600.9966607093811)]","{0: [(257.209361230129, 472.303941853685), (466.5073365284, 470.831114794809)]}","{0: [(263.399437978142, 472.340586039053), (466.5073365284, 470.831114794809)]}"
4,7109952179136822388,['Group 1'],maps/g3/g3_tournament.json,[25],[6],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 595.1654560565948)]","{0: [(256.780216619549, 472.577227771718), (462.146012348791, 472.798697126834), (478.051789924042, 470.423917113213), (678.128729622126, 464.589147698939), (697.977365816182, 464.029418557648), (685.69266258639, 471.981265151678)]}","{0: [(262.927378906504, 472.641200548889), (462.146012348791, 472.798697126834), (479.642367681568, 470.186439111851), (697.977365816182, 464.029418557648), (685.69266258639, 471.981265151678), (685.9028928933262, 472.0887698756082)]}"
5,4493438214823152814,['Group 1'],maps/g3/g3_tournament.json,[25],[6],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 595.8416683673859)]","{0: [(258.627405345308, 470.745572856562), (456.404646404563, 469.538680744296), (479.430286656559, 473.371325604995), (675.696153025655, 474.822951063031), (695.092483260045, 474.929787160228), (685.904862221617, 472.462226106572)]}","{0: [(264.959286504839, 470.626380142219), (456.404646404563, 469.538680744296), (481.732850681758, 473.754590091065), (695.092483260045, 474.929787160228), (685.904862221617, 472.462226106572), (685.8913713900657, 472.0902416867191)]}"
1,18131951131372893387,['Group 1'],maps/g3/g3_tournament.json,[50],[4],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 215.89251828193665)]","{0: [(430.150719613858, 468.878502211947), (473.404332031682, 470.592170381671), (669.293940325414, 471.070165776436), (688.450700664726, 471.100824262325)]}","{0: [(430.184283025493, 468.878065022914), (477.726336932301, 470.763580917547), (688.450700664726, 471.100824262325), (685.9013842376877, 472.0873642758112)]}"
2,12272027072284356065,['Group 1'],maps/g3/g3_tournament.json,[50],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 217.06845951080322)]","{0: [(195.30859375, 471.9375), (435.541832540861, 472.647409350868), (478.130111012717, 470.987080601046), (670.733287220049, 470.571684625074), (689.567722056063, 470.546748314975)]}","{0: [(195.30859375, 471.9375), (435.541832540861, 472.647409350868), (482.388938859903, 470.821047726064), (689.567722056063, 470.546748314975), (685.9134036253615, 472.1156053744455)]}"
3,281359090509362625,['Group 1'],maps/g3/g3_tournament.json,[50],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 216.1449999809265)]","{0: [(195.30859375, 471.9375), (437.980138744488, 469.402359443999), (478.991732183755, 470.33498785745), (669.819019599384, 468.478984131167), (688.491632406554, 468.284057474404)]}","{0: [(195.30859375, 471.9375), (437.980138744488, 469.402359443999), (483.092891527681, 470.428250698795), (688.491632406554, 468.284057474404), (685.9177949956418, 472.1002648278908)]}"
4,14434419529977727573,['Group 1'],maps/g3/g3_tournament.json,[50],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 214.96806526184082)]","{0: [(431.739742439971, 472.887475068369), (475.031414110974, 472.345639276721), (675.599256278436, 471.778981104635), (695.223123778472, 471.727733645343), (685.982188235222, 471.941070550161)]}","{0: [(431.739742439971, 472.887475068369), (479.360581278074, 472.291455697556), (695.223123778472, 471.727733645343), (685.982188235222, 471.941070550161), (685.8992264182608, 472.0880846017942)]}"
5,12880696379294411474,['Group 1'],maps/g3/g3_tournament.json,[50],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 216.51674437522888)]","{0: [(442.2668893755, 473.715590546841), (475.008912154504, 470.530697995969), (679.286532565816, 469.929361179865), (699.386874379157, 469.901076423764), (686.02627505083, 471.855788325316)]}","{0: [(442.2668893755, 473.715590546841), (478.283114432404, 470.212208740881), (699.386874379157, 469.901076423764), (686.02627505083, 471.855788325316), (685.9019630128823, 472.0896413570412)]}"
1,12818716037565039671,['Group 1'],maps/g3/g3_tournament.json,[100],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 304.6869649887085)]","{0: [(465.523557678172, 469.415560889888), (481.814128730782, 471.452354801712), (674.401813194801, 473.678105253731), (693.497675930676, 473.880312359814), (685.951282745629, 472.112914072639)]}","{0: [(465.523557678172, 469.415560889888), (483.443185836043, 471.656034192894), (693.497675930676, 473.880312359814), (685.951282745629, 472.112914072639), (685.9023651962667, 472.0897983653273)]}"
2,6184627188681150418,['Group 1'],maps/g3/g3_tournament.json,[100],[4],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 304.3229568004608)]","{0: [(461.754752551685, 471.444394806059), (481.929757482981, 471.566966236198), (674.652908466672, 473.187491849034), (693.723473515728, 473.348318696016)]}","{0: [(461.754752551685, 471.444394806059), (483.947257976111, 471.579223379212), (693.723473515728, 473.348318696016), (685.9012302411314, 472.09680342316335)]}"
3,8310992282215956579,['Group 1'],maps/g3/g3_tournament.json,[100],[7],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[2],[0],[0],['Group 1'],"[('Group 1', 304.04760122299194)]","{0: [(195.30859375, 471.9375), (195.30859375, 471.9375), (465.184291070223, 471.727059632914), (481.547863529508, 471.472398674492), (676.974456683473, 471.502677974177), (696.353480274276, 471.508252513729), (685.979948058402, 472.064448762212)]}","{0: [(195.30859375, 471.9375), (195.30859375, 471.9375), (465.184291070223, 471.727059632914), (483.184220775437, 471.44693257865), (696.353480274276, 471.508252513729), (685.979948058402, 472.064448762212), (685.9023888990284, 472.0899808995322)]}"
4,18192760891356262618,['Group 1'],maps/g3/g3_tournament.json,[100],[5],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[1],[0],[0],['Group 1'],"[('Group 1', 273.7603919506073)]","{0: [(195.30859375, 471.9375), (464.667491347025, 470.920364190086), (481.597271922292, 471.249201234396), (671.619406437844, 471.754674216324), (690.452322083647, 471.801933144073)]}","{0: [(195.30859375, 471.9375), (464.667491347025, 470.920364190086), (483.290249979819, 471.282084938827), (690.452322083647, 471.801933144073), (685.9028310176355, 472.09734784425603)]}"
5,3505754560258484084,['Group 1'],maps/g3/g3_tournament.json,[100],[4],['S'],[0.0],490.593773653601,"[195.30859375, 471.9375]","[685.90234375, 472.08984375]",[0],[0],[0],['Group 1'],"[('Group 1', 230.10014629364014)]","{0: [(461.375911887711, 471.889451418831), (482.17246286126, 471.358777752349), (678.423363253138, 472.174571689991), (697.84048778259, 472.26145782042)]}","{0: [(461.375911887711, 471.889451418831), (484.252117958615, 471.305710385701), (697.84048778259, 472.26145782042), (685.901906949386, 472.12930353228666)]}"
