trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,11594752077930066556,['Group 1'],maps/g4/n.json,[10],[10],['F'],[113.7277064585186],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.718962430954)]","{0: [(263.639712458914, 333.911387011642), (362.691977956639, 182.10120029198), (560.635239990039, 248.10225488779), (761.555170325981, 185.976339684338)]}","{0: [(280.215103382539, 320.237340165931), (370.939665414049, 168.287586304585), (579.604797447638, 256.08372174611), (761.555170325981, 185.976339684338)]}"
2,10553556605905673185,['Group 1'],maps/g4/n.json,[10],[10],['F'],[117.49034642633544],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[1],[0],[],"[('Group 1', 600.8529806137085)]","{0: [(246.604972798039, 365.945258211254), (367.631138944448, 188.130820202464), (550.389186847977, 252.326957038693), (567.603449146441, 260.420008505146), (777.493474987643, 210.303748635058)]}","{0: [(261.476889755577, 355.474598485504), (378.246563863336, 171.39644237416), (567.603449146441, 260.420008505146), (567.603449146441, 260.420008505146), (777.493474987643, 210.303748635058)]}"
3,13947616516110259629,['Group 1'],maps/g4/n.json,[10],[8],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 581.6029691696167)]","{0: [(252.868621669222, 357.555278451695), (352.705740220721, 195.272959983237), (557.21931849911, 231.419315610687), (784.854887047822, 169.756045179587), (829.396114901513, 147.701335102762), (859.80786901231, 124.200380043738), (862.403632144853, 122.070831638604), (856.219752463262, 123.420593585455)]}","{0: [(268.366903513879, 346.24562074999), (361.139623891406, 180.175693906562), (576.82728795988, 236.543677781099), (784.854887047822, 169.756045179587), (833.850237686883, 145.495864095079), (862.403632144853, 122.070831638604), (856.219752463262, 123.420593585455), (856.4566361725919, 123.30500057209615)]}"
4,1386946145491861054,['Group 1'],maps/g4/n.json,[10],[10],['F'],[0.11991767215360305],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[2],[0],[0],[],"[('Group 1', 557.7598876953125)]","{0: [(235.98989997926, 363.971916423344), (348.528723516979, 147.351654150518), (358.401564903185, 126.756427313689), (526.469642498614, 218.665938296846), (543.276450258157, 227.856889395162), (745.997288798405, 262.182238506185), (817.480405219477, 181.834389798096), (855.327180426505, 129.600182872804), (858.397026782998, 125.180240667356), (856.83811430519, 123.667028182678)]}","{0: [(249.800309654921, 353.303922518803), (358.401564903185, 126.756427313689), (358.401564903185, 126.756427313689), (543.276450258157, 227.856889395162), (543.276450258157, 227.856889395162), (745.997288798405, 262.182238506185), (824.628716861584, 173.799604927287), (858.397026782998, 125.180240667356), (856.83811430519, 123.667028182678), (856.549561588762, 123.380491697831)]}"
5,6477113727540975936,['Group 1'],maps/g4/n.json,[10],[8],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 543.6160521507263)]","{0: [(236.0019974329, 347.393104921082), (370.819713464427, 190.773731175003), (568.295467746958, 253.871960326245), (781.470562243372, 258.046372714239), (815.802697335579, 197.128831316333), (855.602073422445, 131.554017693939), (859.238689680209, 125.605711745679), (856.89316405555, 123.276507215217)]}","{0: [(249.813616853925, 335.067229866315), (382.920323125477, 176.344381305872), (586.832982209106, 261.624718228282), (781.470562243372, 258.046372714239), (819.2359108448, 191.037077176542), (859.238689680209, 125.605711745679), (856.89316405555, 123.276507215217), (856.4577679351952, 123.31774347101437)]}"
1,2445437468742795205,['Group 1'],maps/g4/n.json,[25],[8],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 1'],"[('Group 1', 430.4081554412842)]","{0: [(97.8858032226563, 470.65185546875), (255.016238306413, 351.028362016148), (395.653457279292, 155.499386642252), (584.4273564112, 253.525351438988), (805.129133742296, 169.660158518618), (855.995808869692, 122.944227563388), (859.051740090706, 119.227669024469), (856.544314816062, 123.368415804099)]}","{0: [(97.8858032226563, 470.65185546875), (270.729281814789, 339.066012670887), (408.145874825742, 137.142724039389), (602.055504569745, 265.163614178948), (825.436496659551, 160.109812952585), (859.051740090706, 119.227669024469), (856.544314816062, 123.368415804099), (856.4564522940143, 123.30493507155693)]}"
2,10247761641030993556,['Group 1'],maps/g4/n.json,[25],[7],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[1],[0],[0],['Group 1'],"[('Group 1', 422.3710961341858)]","{0: [(97.8858032226563, 470.65185546875), (264.541016915948, 340.427693362218), (398.730730195071, 148.387468282086), (571.02805152299, 236.633083970971), (796.924936954415, 202.001289306175), (854.767498760377, 128.263681744685), (858.453330988796, 121.34238633176)]}","{0: [(97.8858032226563, 470.65185546875), (281.206538285278, 327.405277151564), (410.48314938605, 130.485687395138), (587.082541736684, 247.247823628554), (817.909176476189, 197.476635873937), (858.453330988796, 121.34238633176), (856.466558877111, 123.31489789010949)]}"
3,2461651356901342571,['Group 1'],maps/g4/n.json,[25],[6],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 437.7746605873108)]","{0: [(269.036022942429, 336.574696312485), (410.482992886338, 144.444089802955), (587.013499745769, 253.925877685302), (813.80818157436, 164.852105851058), (856.045288149904, 124.405842465551), (858.165149301235, 121.379307922284)]}","{0: [(286.151044914406, 323.166980396859), (422.916187683531, 126.571800743565), (603.423230951993, 266.661285379476), (834.846676636596, 154.671187898216), (858.165149301235, 121.379307922284), (856.477500307857, 123.32300613601238)]}"
4,7109952179136822388,['Group 1'],maps/g4/n.json,[25],[9],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[2],[0],[0],['Group 1'],"[('Group 1', 427.5068883895874)]","{0: [(268.451409496264, 338.263296733148), (404.620093910654, 149.47719733851), (416.531306289357, 131.922472986402), (416.531306289357, 131.922472986402), (580.65615636028, 262.674102021568), (804.808080525813, 196.756259707752), (856.709309309927, 125.323187699322), (859.822037796754, 118.969810550652), (856.189157552844, 123.451313095693)]}","{0: [(285.507970123624, 325.024440859588), (416.531306289357, 131.922472986402), (416.531306289357, 131.922472986402), (416.531306289357, 131.922472986402), (597.068641367373, 275.749264925085), (825.582024441657, 188.856959186019), (859.822037796754, 118.969810550652), (856.189157552844, 123.451313095693), (856.4511458777243, 123.29572181895057)]}"
5,4493438214823152814,['Group 1'],maps/g4/n.json,[25],[7],['S'],[0.0],834.313812359179,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[0],[0],['Group 1'],"[('Group 1', 432.5356423854828)]","{0: [(269.537654151241, 329.19148670042), (407.90282151891, 147.418067359837), (586.347585756154, 269.159466418983), (802.153469589262, 197.137185957984), (852.36227806927, 125.472297189892), (855.39142484495, 119.164535254998), (856.547373582698, 123.16508730598)]}","{0: [(286.702839244099, 315.045449823587), (420.022819746392, 130.655329113462), (602.98006235713, 283.009880149536), (822.070810312475, 188.549916538829), (855.39142484495, 119.164535254998), (856.547373582698, 123.16508730598), (856.4550586535726, 123.30382189701888)]}"
