trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,11594752077930066556,['Group 1'],maps/g8/risk_map.json,[10],[10],['F'],[474.03821197365613],300.0,"[790.0, 315.0]","[790.0, 15.0]",[4],[0],[0],[],"[('Group 1', 282.61442852020264)]","{0: [(585.872609047578, 317.2905490094), (382.953988045809, 326.284289564695), (364.703399855156, 327.160758130131), (175.307346384277, 318.384702554795), (100.454872799738, 216.02923170273), (89.9452540273685, 71.0703485455941), (89.4534208325061, 57.5892388828258), (295.567963373672, 5.81490785036141), (316.179417627789, 0.637474747114972), (316.179417627789, 0.637474747114972)]}","{0: [(565.459869952335, 317.51960391034), (364.703399855156, 327.160758130131), (364.703399855156, 327.160758130131), (156.367741037189, 317.507096997261), (94.8635859759924, 205.881445173277), (89.4534208325061, 57.5892388828258), (89.4534208325061, 57.5892388828258), (316.179417627789, 0.637474747114972), (316.179417627789, 0.637474747114972), (316.179417627789, 0.637474747114972)]}"
2,10553556605905673185,['Group 1'],maps/g8/risk_map.json,[10],[10],['F'],[523.8848172818917],300.0,"[790.0, 315.0]","[790.0, 15.0]",[4],[0],[0],[],"[('Group 1', 268.8027763366699)]","{0: [(790.0, 315.0), (589.1740608363, 316.384920512658), (569.09146691993, 316.523412563923), (569.09146691993, 316.523412563923), (354.696762082493, 313.888120886268), (175.372773340715, 314.755282617584), (90.7813824784513, 220.726042944508), (98.1618595309372, 29.1312199707653), (99.5879366265504, 10.9131607610209), (250.976545627443, 15.0686988785476)]}","{0: [(790.0, 315.0), (569.09146691993, 316.523412563923), (569.09146691993, 316.523412563923), (569.09146691993, 316.523412563923), (333.257291598749, 313.624591718503), (159.584321514911, 314.868351707492), (83.9010885748053, 211.311812068209), (99.5879366265504, 10.9131607610209), (99.5879366265504, 10.9131607610209), (266.115406527532, 15.4842526903003)]}"
3,13947616516110259629,['Group 1'],maps/g8/risk_map.json,[10],[10],['F'],[249.2010002296787],300.0,"[790.0, 315.0]","[790.0, 15.0]",[3],[0],[0],[],"[('Group 1', 219.75922203063965)]","{0: [(790.0, 315.0), (607.765419561444, 322.596629074911), (382.408355642307, 315.349014008997), (150.442479375237, 322.772580845592), (129.317227807283, 323.595010308986), (129.317227807283, 323.595010308986), (102.918177142471, 221.115790626837), (100.159090287495, 38.3503622413735), (316.069417786862, 6.14526632480884), (522.333101867383, 13.3420959255718)]}","{0: [(790.0, 315.0), (589.541961517588, 323.356291982402), (361.694995054779, 314.548286211657), (129.317227807283, 323.595010308986), (129.317227807283, 323.595010308986), (129.317227807283, 323.595010308986), (100.278272075989, 210.867868658623), (100.147172108646, 21.0986115996486), (337.661642354684, 4.64993179732486), (540.800247818653, 14.2113123383965)]}"
4,1386946145491861054,['Group 1'],maps/g8/risk_map.json,[10],[10],['F'],[344.49316307353666],300.0,"[790.0, 315.0]","[790.0, 15.0]",[3],[0],[0],[],"[('Group 1', 258.31216955184937)]","{0: [(624.247120373605, 311.546117165238), (607.671832410965, 311.200728881762), (607.671832410965, 311.200728881762), (607.671832410965, 311.200728881762), (436.192084261938, 316.522010811571), (214.901893603632, 318.926650978053), (91.2994124095216, 221.642541570811), (106.485143246917, 38.517086260839), (262.791480601182, 12.5132067420572), (430.295415339439, 13.7981423823707)]}","{0: [(607.671832410965, 311.200728881762), (607.671832410965, 311.200728881762), (607.671832410965, 311.200728881762), (607.671832410965, 311.200728881762), (419.044109447035, 317.054139004552), (194.487672019291, 319.113902175403), (80.9805864485446, 211.895405510352), (109.035598926754, 21.1792543358877), (278.167068768625, 11.6466019826741), (445.50824999652, 14.0132964223403)]}"
5,6477113727540975936,['Group 1'],maps/g8/risk_map.json,[10],[10],['F'],[227.37777511562928],300.0,"[790.0, 315.0]","[790.0, 15.0]",[3],[0],[0],[],"[('Group 1', 222.7451868057251)]","{0: [(614.35213587136, 323.800262120282), (407.467884426302, 312.38696670838), (388.535937923083, 311.157634545987), (195.664960588677, 331.222141875173), (108.540352253236, 241.857008053531), (108.47373296834, 51.9641059532182), (109.14544614587, 33.8885315887325), (297.250920965436, 4.00872214101692), (540.635689659845, 0.432893502676288), (563.09311178109, 0.374108733319379)]}","{0: [(596.787349458496, 324.680288332311), (388.535937923083, 311.157634545987), (388.535937923083, 311.157634545987), (176.377862855236, 333.228592608091), (101.756601193036, 232.719849598075), (109.14544614587, 33.8885315887325), (109.14544614587, 33.8885315887325), (316.061468447392, 1.02074119624537), (563.09311178109, 0.374108733319379), (563.09311178109, 0.374108733319379)]}"
1,2445437468742795205,['Group 1'],maps/g8/risk_map.json,[25],[10],['F'],[371.8291369100268],300.0,"[790.0, 315.0]","[790.0, 15.0]",[4],[0],[0],[],"[('Group 1', 563.3536703586578)]","{0: [(790.0, 315.0), (653.28636143427, 310.877600730438), (419.339304992475, 313.543867052702), (397.311735733952, 313.851717677624), (245.872060023874, 280.898449153814), (230.728092452866, 277.603122301433), (95.9593009936716, 107.693559844011), (161.740352372144, 3.76362657331907), (168.318457509991, -6.62936675375011), (395.45711676507, 12.7625744813621)]}","{0: [(790.0, 315.0), (639.614997577697, 310.465360803481), (397.311735733952, 313.851717677624), (397.311735733952, 313.851717677624), (230.728092452866, 277.603122301433), (230.728092452866, 277.603122301433), (95.9593009936716, 107.693559844011), (168.318457509991, -6.62936675375011), (168.318457509991, -6.62936675375011), (418.170982690578, 14.7017686048733)]}"
2,10247761641030993556,['Group 1'],maps/g8/risk_map.json,[25],[10],['S'],[0.0],300.0,"[790.0, 315.0]","[790.0, 15.0]",[0],[0],[0],['Group 1'],"[('Group 1', 273.93322467803955)]","{0: [(635.122245042491, 310.633014025124), (409.981646458642, 311.209700215689), (183.481688076618, 321.31513373858), (104.355114259389, 221.502709506261), (240.205727169577, 50.651821923683), (466.999644051224, 17.4248837809638), (706.244152194008, 13.8890369775638), (786.389984596439, 16.0301472967849), (792.224745879783, 16.2624668190192), (790.068238125593, 15.0461528308537)]}","{0: [(619.63446954674, 310.196315427636), (389.016364149832, 311.311038694494), (162.928220469297, 322.315543242989), (98.4978036383986, 211.421426132588), (254.376519522695, 34.5748615027925), (488.261956504077, 15.7098860087809), (728.042371763001, 13.7069520744421), (792.224745879783, 16.2624668190192), (790.068238125593, 15.0461528308537), (790.0000248971451, 14.999963231665221)]}"
3,2461651356901342571,['Group 1'],maps/g8/risk_map.json,[25],[10],['F'],[0.2013092769580782],300.0,"[790.0, 315.0]","[790.0, 15.0]",[0],[0],[0],[],"[('Group 1', 320.8922607898712)]","{0: [(639.440181379415, 312.54430298161), (410.489610761578, 315.486891855526), (170.469110280119, 319.172341084844), (100.433803999952, 213.601152242421), (104.858501644019, 210.092208826918), (250.00875208689, 35.2421158405463), (480.195849900308, 16.8577333182501), (711.114554796682, 18.5013868068967), (789.31573463275, 15.5102114931834), (795.042421050895, 15.1938090668164)]}","{0: [(624.384199517356, 312.298733279772), (389.100151886, 315.805707713102), (148.606006119531, 319.509004422019), (96.5174283112592, 204.990897380327), (105.692608977295, 210.602339971577), (264.440366397849, 17.7060934274432), (501.771398250554, 16.7728973073308), (732.048870451295, 18.6742357568533), (795.042421050895, 15.1938090668164), (789.928433256489, 14.8118414864732)]}"
4,7109952179136822388,['Group 1'],maps/g8/risk_map.json,[25],[10],['S'],[0.0],300.0,"[790.0, 315.0]","[790.0, 15.0]",[2],[0],[0],['Group 1'],"[('Group 1', 339.71751976013184)]","{0: [(640.490950659008, 311.890400346793), (415.080109109409, 313.366164914029), (394.034115447859, 313.544837367285), (247.147041978856, 285.082851894179), (104.955540923461, 212.656661334831), (247.205833819073, 46.1299052852837), (484.247522714979, 18.1258594164861), (506.401685881905, 16.9211423980898), (727.539305643056, 7.30401398656125), (786.452637575603, 14.2020564148877)]}","{0: [(625.540045724909, 311.579440381472), (394.034115447859, 313.544837367285), (394.034115447859, 313.544837367285), (232.458334631956, 282.236653346869), (92.2052615526116, 205.698662133628), (262.705891045719, 30.1730296004492), (506.401685881905, 16.9211423980898), (506.401685881905, 16.9211423980898), (749.653067619171, 6.34230114540839), (790.008229413101, 14.961469682868055)]}"
5,4493438214823152814,['Group 1'],maps/g8/risk_map.json,[25],[10],['F'],[0.1202167790312997],300.0,"[790.0, 315.0]","[790.0, 15.0]",[1],[0],[0],[],"[('Group 1', 391.22451281547546)]","{0: [(635.951509969631, 316.299084570353), (416.265945970764, 316.913351810342), (395.83787447118, 316.961787688637), (250.675737551816, 278.05326906388), (104.348250754739, 220.532170906534), (231.476989631225, 54.9474917467409), (461.633306426127, 17.1561089921088), (707.904845169134, 19.5267158978008), (785.681905851878, 16.766542282908), (791.213021862899, 16.4450496350602)]}","{0: [(620.546660966594, 316.428993027389), (395.83787447118, 316.961787688637), (395.83787447118, 316.961787688637), (236.15952385988, 274.162417201405), (91.1671234442249, 215.169146277047), (245.507976249925, 38.9253262937102), (483.245839443747, 14.9791872619486), (730.370745741672, 19.981468761386), (791.213021862899, 16.4450496350602), (790.12006793981, 14.9940197165249)]}"
