trial,seed,player_names,map,skills,scores,player_states,distances_from_target,distance_source_to_target,start,target,penalties,timeout_count,error_count,winner_list,total_time_sorted,landing_history,ending_history
1,1.15948E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0859405994415)]",,
2,1.05536E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1223258972168)]",,
3,1.39476E+19,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0984723567963)]",,
4,1.38695E+18,['Group 1'],maps/g4/n.json,[10],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1089587211609)]",,
1,2.44544E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0659546852112)]",,
2,1.02478E+19,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0751643180847)]",,
3,2.46165E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0790486335754)]",,
5,4.49344E+18,['Group 1'],maps/g4/n.json,[25],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.069650888443)]",,
1,1.8132E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[595.4291782754323],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.3257350921631)]",,
2,1.2272E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[598.2287170487035],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.3769550323486)]",,
3,2.81359E+17,['Group 1'],maps/g4/n.json,[50],[10],['F'],[601.866989141174],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.4287755489349)]",,
4,1.44344E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[592.0015685245548],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.4518010616302)]",,
5,1.28807E+19,['Group 1'],maps/g4/n.json,[50],[10],['F'],[581.1757726104064],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.4560816287994)]",,
1,1.28187E+19,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.081286907196)]",,
2,6.18463E+18,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1053562164307)]",,
3,8.31099E+18,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.1050372123718)]",,
4,1.81928E+19,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0948138237)]",,
5,3.50575E+18,['Group 1'],maps/g4/n.json,[100],[10],['F'],[834.313812359179],834.3138124,"[97.8858032226563, 470.65185546875]","[856.45654296875, 123.304809570312]",[0],[1],[0],[],"[('Group 1', 600.0859143733978)]",,
